Comments,sentiment,expression
Very like song❤,0.7902,Positive
Damn was that Messi?,-0.4019,Negative
⚽⚽⚽👉💪💪👍👍,0.0,Neutral
❤❤ It&#39;s good 👍<br>👇🥺,0.9062,Positive
How many people are watching in November 2023?,0.0,Neutral
🎉🎉nice,0.6597,Positive
Anyone who’s watching 2024😂,0.4404,Positive
2023 cirket world cup South Africa  😂,0.4404,Positive
"<a href=""https://youtube.com/shorts/pjnVnXWCXr0?si=62x1HDlTOy08XnlF"">https://youtube.com/shorts/pjnVnXWCXr0?si=62x1HDlTOy08XnlF</a>",0.0,Neutral
23 and forever ❤❤❤🎉,0.946,Positive
Assurance,0.34,Positive
وش احنا بي عام ٢٠٢٣😂😂😂,0.8271,Positive
Random syllables -- A A -- random syllables -- Boo-boo -- random syllables -- ting ting -- random syllables -- too day! (repeats),0.0,Neutral
Kon kon 2023 may suun raha hai 😂,0.4404,Positive
Fan of Messi,0.3182,Positive
il ❤,0.6369,Positive
No swearing <br>No drugs <br>No naked people <br>Just pure talent and happiness,0.7987,Positive
2023 anyone here,0.0,Neutral
ا,0.0,Neutral
"2050 anyone 😂😂😂😂 <a href=""https://www.youtube.com/watch?v=pRpeEdMmmQ0&amp;t=0m41s"">0:41</a>",0.891,Positive
Don&#39;t click me.,0.0,Neutral
2023 😂😂,0.7003,Positive
Messi childrens can see him after 50yr old😂 how is was earlier🗿,0.4404,Positive
Hayang Hayang Ku Hayang<br>Hayang Hayang Ku Hayang<br>Ku Yakin Bisa Menjadi Bintang<br>Menggapai Mimpi Bersama Garuda<br>Pantang Menyerah Terus Berjuang<br>Tak Kenal Lelah Bersama Garuda<br>We Are Together Kepada Dunia<br><br>We Are Together di Indonesia<br>We Are Together Kepada Dunia<br>We Are Together di Indonesia<br>We Are Together Kepada Dunia<br>We Are Together di Indonesia<br>Kita Bersama Garuda<br>Kita Bersama Garuda<br>Ku Yakin Bisa Menjadi Bintang,0.0,Neutral
2049 anyone,0.0,Neutral
❤,0.6369,Positive
2026 anyone,0.0,Neutral
Waka was ee eee 🥳🥳Africa🥳🥳🥳2010❤️❤️hola shakira tengo 8 Anos me gusta❤️❤️,0.9001,Positive
2026🇧🇷🏆,0.0,Neutral
2026 anyone?,0.0,Neutral
Insuperable.,0.0,Neutral
Ya no hacen canciones de mundiales como antes 😔,-0.2263,Negative
"If this doesn’t make you wanna go to the World Cup ,idk what will",-0.1027,Negative
2598 anyone,0.0,Neutral
The song is nice but <br>why is there a lion,0.2263,Positive
ຟຸດບອນໂລກທີ່ດີທີ່ສຸດ2010❤,0.6369,Positive
Tiftujk hfjfvn hilh okcg o ujghhj? 233456 year,0.0,Neutral
What how does this many people still comment !,0.0,Neutral
شاكيرا ذات الأصول العربيه البنانيه افضل اغنية كأس عالم علاالاطلاق برافو,0.0,Neutral
ميسي خاد كاس العالم,0.0,Neutral
Still best song for a sports event,0.6369,Positive
When the world became peacefull,0.0,Neutral
NO MEANS NO .,-0.0803,Negative
2023😢😢❤❤❤❤❤❤,0.9682,Positive
Mettete like se siete italiani,0.3612,Positive
😒😒😒,0.0,Neutral
😞mão👍1,-0.4767,Negative
Canım Kızım Çiçek’im 1.5 yaşında ve en sevdiği şarkı bu.. Shakira seni çok seviyoruz..,0.0,Neutral
2026😂😂😂,0.8271,Positive
Give the original dude the credit,0.5994,Positive
2026 anyone 😊❤,0.8807,Positive
Jambo Jambo Karibu Kenya hakuna Matata under the leadership of His Excellency Dr William Ruto,0.5423,Positive
Succession in 2032,0.2023,Positive
2027,0.0,Neutral
World Cup in 202????,0.0,Neutral
"<a href=""https://www.youtube.com/watch?v=pRpeEdMmmQ0&amp;t=1m11s"">1:11</a> PIQUE!😠😡🤬",-0.7525,Negative
it&#39;s 2023rd,0.0,Neutral
How this vid gets a new comment like every hour even after 13 years,0.3612,Positive
Wow that is the most amazing song in the world 😊❤,0.9589,Positive
nice catch boys and girld :D rest time to let them to show whot they can do :D,0.8971,Positive
The most iconic world cup song of all time,0.0,Neutral
"Шакуля ты красотка, не будь дурочкой, ты не нужна теперь не тенисистам, не футболистам приезжай ко мне я тебе сделаю расслабляющий,,,,,,,,,,,,,,,,,,,,,,,,,",0.0,Neutral
😎😎😎😎😎😎😎😎😎😎😎😎,0.9872,Positive
Это же Bratishkinoff,0.0,Neutral
the best world cup song ever ❤,0.8555,Positive
"Our school has a school disco every Tuesday and Friday, this is always a fan favourite",0.3182,Positive
Who came from 2024😂,0.4404,Positive
I’m no football fan but I love this song hands down…..😍😍😍,0.9566,Positive
J’adore cette chanson 🥰😊,0.9231,Positive
